assay_description,canonical_smiles,document_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,SMILES,year
Inhibitory concentration against cyclin-dependent kinase 2,COc1ccccc1Nc1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1,CHEMBL1136192,=,=,IC50,nM,85000.0,IC50,uM,85.0,COc1ccccc1Nc1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(Cl)ccc3Cl)ncn2)cc1,CHEMBL1136192,=,=,IC50,nM,22000.0,IC50,uM,22.0,CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(Cl)ccc3Cl)ncn2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2nccc(N(CC#N)c3cc(Cl)ccc3Cl)n2)cc1,CHEMBL1136192,=,=,IC50,nM,700.0,IC50,uM,0.7,CN(C)CC(O)COc1ccc(Nc2nccc(N(CC#N)c3cc(Cl)ccc3Cl)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1,CHEMBL1136192,=,=,IC50,nM,500.0,IC50,uM,0.5,CN(C)CC(O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1,CHEMBL1136207,=,=,IC50,nM,62.0,IC50,nM,62.0,O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Cl)ncn2)cc1,CHEMBL1136192,=,=,IC50,nM,95000.0,IC50,uM,95.0,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Cl)ncn2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2cc(-c3ccoc3)ccc12)C1CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1n[nH]c2cc(-c3ccoc3)ccc12)C1CC1,2003.0
Inhibition of Cyclin-dependent kinase 2,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21,CHEMBL1133758,=,=,IC50,nM,1200.0,IC50,uM,1.2,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21,2000.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,CHEMBL1136192,=,=,IC50,nM,6000.0,IC50,uM,6.0,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,C#CCN(c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl,CHEMBL1136192,=,=,IC50,nM,2000.0,IC50,uM,2.0,C#CCN(c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1[nH]nc2cc(-c3ccc(F)c(F)c3)ccc12)C1CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1[nH]nc2cc(-c3ccc(F)c(F)c3)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1[nH]nc2cc(-c3cccc(F)c3F)ccc12)C1CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1[nH]nc2cc(-c3cccc(F)c3F)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,Cc1ccc(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)cc1,CHEMBL1136192,>,>,IC50,nM,100000.0,IC50,uM,100.0,Cc1ccc(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,Cc1ccc(Cl)c(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)c1,CHEMBL1136192,=,=,IC50,nM,5000.0,IC50,uM,5.0,Cc1ccc(Cl)c(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)c1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2ncc(F)c(Nc3ccccc3)n2)cc1,CHEMBL1136192,>,>,IC50,nM,10000.0,IC50,uM,10.0,CN(C)CC(O)COc1ccc(Nc2ncc(F)c(Nc3ccccc3)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Br)cc12)C1CC1,CHEMBL1136207,=,=,IC50,nM,5.0,IC50,nM,5.0,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Br)cc12)C1CC1,2003.0
Inhibition of Cyclin-dependent kinase 2,CC(C)n1cnc2c(NCc3ccccc3)nc(NC[C@@H](C)O)nc21,CHEMBL1133758,=,=,IC50,nM,200.0,IC50,uM,0.2,CC(C)n1cnc2c(NCc3ccccc3)nc(NC[C@@H](C)O)nc21,2000.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3F)n2)cc1,CHEMBL1136192,=,=,IC50,nM,7000.0,IC50,uM,7.0,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3F)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3Br)n2)cc1,CHEMBL1136192,=,=,IC50,nM,7000.0,IC50,uM,7.0,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3Br)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cccc(Cl)c3)n2)cc1,CHEMBL1136192,=,=,IC50,nM,5000.0,IC50,uM,5.0,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cccc(Cl)c3)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2cc(-c3ccc4[nH]ccc4c3)ccc12)C1CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1n[nH]c2cc(-c3ccc4[nH]ccc4c3)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,COc1ccccc1Nc1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1,CHEMBL1136192,=,=,IC50,nM,15000.0,IC50,uM,15.0,COc1ccccc1Nc1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,COc1ccc(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)cc1,CHEMBL1136192,>,>,IC50,nM,100000.0,IC50,uM,100.0,COc1ccc(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2nc(-c3ccccc3)c(Br)cc12)C1CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1n[nH]c2nc(-c3ccccc3)c(Br)cc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2cc(-c3ccc(F)cc3)ccc12)C1CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1n[nH]c2cc(-c3ccc(F)cc3)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2cc(-c3cccs3)ccc12)C1CC1,CHEMBL1136207,=,=,IC50,nM,341.0,IC50,nM,341.0,O=C(Nc1n[nH]c2cc(-c3cccs3)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2nc(-c3ccco3)c(Br)cc12)C1CCN(Cc2ccccc2)C1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1n[nH]c2nc(-c3ccco3)c(Br)cc12)C1CCN(Cc2ccccc2)C1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccc(Cl)cc3)n2)cc1,CHEMBL1136192,=,=,IC50,nM,18000.0,IC50,uM,18.0,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccc(Cl)cc3)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,Cc1ccc(F)c(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)c1,CHEMBL1136192,=,=,IC50,nM,2000.0,IC50,uM,2.0,Cc1ccc(F)c(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)c1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(C(F)(F)F)ccc3F)n2)cc1,CHEMBL1136192,=,=,IC50,nM,1000.0,IC50,uM,1.0,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(C(F)(F)F)ccc3F)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(C(F)(F)F)ccc3F)ncn2)cc1,CHEMBL1136192,=,=,IC50,nM,35000.0,IC50,uM,35.0,CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(C(F)(F)F)ccc3F)ncn2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1[nH]nc2cc(-c3ccccc3F)ccc12)C1CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1[nH]nc2cc(-c3ccccc3F)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3)n2)cc1,CHEMBL1136192,=,=,IC50,nM,34000.0,IC50,uM,34.0,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2ncc(Br)c(Nc3ccccc3)n2)cc1,CHEMBL1136192,=,=,IC50,nM,300.0,IC50,uM,0.3,CN(C)CC(O)COc1ccc(Nc2ncc(Br)c(Nc3ccccc3)n2)cc1,2003.0
Inhibition of Cyclin-dependent kinase 2,CC(C)n1cnc2c(NCc3ccccc3)ncnc21,CHEMBL1133758,=,=,IC50,nM,4500.0,IC50,uM,4.5,CC(C)n1cnc2c(NCc3ccccc3)ncnc21,2000.0
Inhibition of Cyclin-dependent kinase 2,CC(C)n1cnc2c(NC34CC5CC(CC(C5)C3)C4)nc(NCCCO)nc21,CHEMBL1133758,>,>,IC50,nM,100000.0,IC50,uM,100.0,CC(C)n1cnc2c(NC34CC5CC(CC(C5)C3)C4)nc(NCCCO)nc21,2000.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccc(Cl)cc3)ncn2)cc1,CHEMBL1136192,>,>,IC50,nM,100000.0,IC50,uM,100.0,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccc(Cl)cc3)ncn2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)ccc12)C1CC1,CHEMBL1136207,=,=,IC50,nM,13.0,IC50,nM,13.0,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)ccc12)C1CC1,2003.0
Percentage A2780 cells in G1 after 24 hr r at 20 nM (IC50),CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,CHEMBL1135763,=,=,Cell cycle,nM,58.0,Cell cycle,nM,58.0,CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,2002.0
Percentage A2780 cells in S-phase after 24 hr r at 20 nM (IC50),CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,CHEMBL1135763,=,=,Cell cycle,nM,11.0,Cell cycle,nM,11.0,CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,2002.0
Percentage A2780 cells in G2/M after 24 hr r at 20 nM (IC50),CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,CHEMBL1135763,=,=,Cell cycle,nM,29.0,Cell cycle,nM,29.0,CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,2002.0
Percentage A2780 cells in sub-G1 after 24 hr r at 20 nM (IC50),CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,CHEMBL1135763,=,=,Cell cycle,nM,2.0,Cell cycle,nM,2.0,CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,2002.0
Apoptotic A2780 cells after 24 hr r at 20 nM (IC50),CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,CHEMBL1135763,=,=,Cell cycle,nM,6.0,Cell cycle,nM,6.0,CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,2002.0
Percentage A2780 cells in G1 after 24 hr r at 295 nM (IC90),CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,CHEMBL1135763,=,=,Cell cycle,nM,62.0,Cell cycle,nM,62.0,CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,2002.0
Percentage A2780 cells in S-phase after 24 hr r at 295 nM (IC90),CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,CHEMBL1135763,=,=,Cell cycle,nM,6.0,Cell cycle,nM,6.0,CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,2002.0
