assay_description,canonical_smiles,document_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,SMILES,year
Binding constant for MERTK kinase domain,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,2008.0
Binding constant for MERTK kinase domain,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,2008.0
Binding constant for MERTK kinase domain,COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1,2008.0
Binding constant for MERTK kinase domain,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,2008.0
Binding constant for MERTK kinase domain,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,CHEMBL1150977,=,=,Kd,nM,1300.0,Kd,nM,1300.0,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,2008.0
Binding constant for MERTK kinase domain,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,2008.0
Binding constant for MERTK kinase domain,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,CHEMBL1150977,=,=,Kd,nM,6800.0,Kd,nM,6800.0,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,2008.0
Binding constant for MERTK kinase domain,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,2008.0
Binding constant for MERTK kinase domain,COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,2008.0
Binding constant for MERTK kinase domain,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,CHEMBL1150977,=,=,Kd,nM,3300.0,Kd,nM,3300.0,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,2008.0
Binding constant for MERTK kinase domain,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,2008.0
Binding constant for MERTK kinase domain,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,CHEMBL1150977,=,=,Kd,nM,2800.0,Kd,nM,2800.0,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,2008.0
Binding constant for MERTK kinase domain,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,2008.0
Binding constant for MERTK kinase domain,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,2008.0
Binding constant for MERTK kinase domain,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,2008.0
Binding constant for MERTK kinase domain,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,CHEMBL1150977,=,=,Kd,nM,730.0,Kd,nM,730.0,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,2008.0
Binding constant for MERTK kinase domain,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,2008.0
Binding constant for MERTK kinase domain,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL1150977,=,=,Kd,nM,2900.0,Kd,nM,2900.0,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,2008.0
Binding constant for MERTK kinase domain,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,2008.0
Binding constant for MERTK kinase domain,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,2008.0
Binding constant for MERTK kinase domain,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,2008.0
Binding constant for MERTK kinase domain,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,2008.0
Binding constant for MERTK kinase domain,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,2008.0
Binding constant for MERTK kinase domain,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CHEMBL1150977,=,=,Kd,nM,3600.0,Kd,nM,3600.0,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,2008.0
Binding constant for MERTK kinase domain,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL1150977,=,=,Kd,nM,6.4,Kd,nM,6.4,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,2008.0
Binding constant for MERTK kinase domain,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,CHEMBL1150977,=,=,Kd,nM,66.0,Kd,nM,66.0,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,2008.0
Binding constant for MERTK kinase domain,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CHEMBL1150977,=,=,Kd,nM,26.0,Kd,nM,26.0,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,2008.0
Binding constant for MERTK kinase domain,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,CHEMBL1150977,=,=,Kd,nM,1700.0,Kd,nM,1700.0,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,2008.0
Binding constant for MERTK kinase domain,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,2008.0
Binding constant for MERTK kinase domain,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,CHEMBL1150977,=,=,Kd,nM,1400.0,Kd,nM,1400.0,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,2008.0
Inhibition of MERTK assessed as enzyme activity at 1 uM relative to untreated control,Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl,CHEMBL1155237,=,=,Activity,%,99.0,Activity,%,99.0,Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl,2009.0
Inhibition of MER at 1 uM,Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1,CHEMBL1154622,=,=,Inhibition,%,9.0,INH,%,9.0,Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1,2009.0
Residual activity of MERTK at 1 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL1152560,=,=,Residual activity,%,19.0,Residual activity,%,19.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,2009.0
Residual activity of MERTK at 10 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL1152560,=,=,Residual activity,%,2.0,Residual activity,%,2.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,2009.0
Residual activity of MERTK at 0.1 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL1152560,=,=,Residual activity,%,75.0,Residual activity,%,75.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,2009.0
Residual activity of MERTK at 1 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL1152560,=,=,Residual activity,%,16.0,Residual activity,%,16.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,2009.0
Residual activity of MERTK at 10 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL1152560,=,=,Residual activity,%,3.0,Residual activity,%,3.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,2009.0
Residual activity of MERTK at 0.1 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,CHEMBL1152560,=,=,Residual activity,%,57.0,Residual activity,%,57.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,2009.0
Residual activity of MERTK at 1 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,CHEMBL1152560,=,=,Residual activity,%,11.0,Residual activity,%,11.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,2009.0
Residual activity of MERTK at 10 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,CHEMBL1152560,=,=,Residual activity,%,1.0,Residual activity,%,1.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,2009.0
Residual activity of MERTK at 0.1 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL1152560,=,=,Residual activity,%,68.0,Residual activity,%,68.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,2009.0
Inhibition of MER at 5 uM,O=C(Nc1ccccc1Cl)c1cnc2ccc(C3CCNCC3)cn12.O=C(O)C(=O)O,CHEMBL1154316,=,=,Inhibition,%,5.0,INH,%,5.0,O=C(Nc1ccccc1Cl)c1cnc2ccc(C3CCNCC3)cn12.O=C(O)C(=O)O,2009.0
Inhibition of MERTK at 10 uM,Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1-c1cnc(CO)cn1,CHEMBL1154277,<,<,Inhibition,%,50.0,INH,%,50.0,Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1-c1cnc(CO)cn1,2009.0
Inhibition of MERTK at 10 uM,Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1ccc(CN(C)C)cc1,CHEMBL1154277,<,<,Inhibition,%,50.0,INH,%,50.0,Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1ccc(CN(C)C)cc1,2009.0
Inhibition of MERTK at 1 uM,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1,CHEMBL1165965,<,<,Inhibition,%,50.0,INH,%,50.0,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1,2010.0
Inhibition of MERTK at 1 uM,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1,CHEMBL1165965,<,<,Inhibition,%,50.0,INH,%,50.0,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1,2010.0
Inhibition of MERTK at 1 uM,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1,CHEMBL1165965,<,<,Inhibition,%,50.0,INH,%,50.0,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1,2010.0
Inhibition of MERTK at 1 uM,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1,CHEMBL1165965,<,<,Inhibition,%,50.0,INH,%,50.0,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1,2010.0
Inhibition of MERTK at 1 uM,O=C(O)c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1,CHEMBL1165965,<,<,Inhibition,%,50.0,INH,%,50.0,O=C(O)c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1,2010.0
Inhibition of MERTK at 1 uM,O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCCCC1,CHEMBL1165965,<,<,Inhibition,%,50.0,INH,%,50.0,O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCCCC1,2010.0
Inhibition of MERTK at 1 uM,COC1CCN(C(=O)c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cc2)CC1,CHEMBL1165965,<,<,Inhibition,%,50.0,INH,%,50.0,COC1CCN(C(=O)c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cc2)CC1,2010.0
