assay_description,canonical_smiles,document_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,SMILES,year
Effective concentration in LXR alpha-Gal4 receptor gene assay,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(F)c1,CHEMBL1135404,=,=,EC50,nM,700.0,EC50,nM,700.0,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(F)c1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in LXR alpha-Gal4 receptor gene assay",COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(F)c1,CHEMBL1135404,=,=,RE,,0.4,RE,,0.4,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(F)c1,2002
Ligand-dependent recruitment of steroid receptor co-activator 1 (SRC1) to Liver X receptor-alpha,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1F,CHEMBL1135404,=,=,EC50,nM,250.0,EC50,nM,250.0,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1F,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in Liver X receptor-alpha ligand-sensing assay",COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1F,CHEMBL1135404,=,=,RE,,0.7,RE,,0.7,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1F,2002
Effective concentration in LXR alpha-Gal4 receptor gene assay,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1F,CHEMBL1135404,=,=,EC50,nM,910.0,EC50,nM,910.0,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1F,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in LXR alpha-Gal4 receptor gene assay",COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1F,CHEMBL1135404,=,=,RE,,0.5,RE,,0.5,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1F,2002
Ligand-dependent recruitment of steroid receptor co-activator 1 (SRC1) to Liver X receptor-alpha,COc1ccc(CN(CCCOc2cccc(C(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1OC,CHEMBL1135404,=,=,EC50,nM,260.0,EC50,nM,260.0,COc1ccc(CN(CCCOc2cccc(C(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1OC,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in Liver X receptor-alpha ligand-sensing assay",COc1ccc(CN(CCCOc2cccc(C(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1OC,CHEMBL1135404,=,=,RE,,0.2,RE,,0.2,COc1ccc(CN(CCCOc2cccc(C(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1OC,2002
Effective concentration in LXR alpha-Gal4 receptor gene assay; Not tested,COc1ccc(CN(CCCOc2cccc(C(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1OC,CHEMBL1135404,,,NT,,,NT,,,COc1ccc(CN(CCCOc2cccc(C(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1OC,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in LXR alpha-Gal4 receptor gene assay",COc1ccc(CN(CCCOc2cccc(C(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1OC,CHEMBL1135404,,,NT,,,NT,,,COc1ccc(CN(CCCOc2cccc(C(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1OC,2002
Ligand-dependent recruitment of steroid receptor co-activator 1 (SRC1) to Liver X receptor-alpha,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,CHEMBL1135404,=,=,EC50,nM,60.0,EC50,nM,60.0,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in Liver X receptor-alpha ligand-sensing assay",O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,CHEMBL1135404,=,=,RE,,1.0,RE,,1.0,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,2002
Effective concentration in LXR alpha-Gal4 receptor gene assay,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,CHEMBL1135404,=,=,EC50,nM,85.0,EC50,nM,85.0,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in LXR alpha-Gal4 receptor gene assay",O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,CHEMBL1135404,=,=,RE,,2.5,RE,,2.5,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,2002
Ligand-dependent recruitment of steroid receptor co-activator 1 (SRC1) to Liver X receptor-alpha,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1135404,=,=,EC50,nM,95.0,EC50,nM,95.0,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in Liver X receptor-alpha ligand-sensing assay",C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1135404,=,=,RE,,1.0,RE,,1.0,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2002
Effective concentration in LXR alpha-Gal4 receptor gene assay,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1135404,=,=,EC50,nM,3000.0,EC50,nM,3000.0,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in LXR alpha-Gal4 receptor gene assay",C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1135404,=,=,RE,,1.0,RE,,1.0,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2002
Ligand-dependent recruitment of steroid receptor co-activator 1 (SRC1) to Liver X receptor-alpha,NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,EC50,nM,45.0,EC50,nM,45.0,NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in Liver X receptor-alpha ligand-sensing assay",NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,RE,,1.1,RE,,1.1,NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,2002
Effective concentration in LXR alpha-Gal4 receptor gene assay,NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,EC50,nM,425.0,EC50,nM,425.0,NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in LXR alpha-Gal4 receptor gene assay",NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,RE,,1.5,RE,,1.5,NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,2002
Ligand-dependent recruitment of steroid receptor co-activator 1 (SRC1) to Liver X receptor-alpha,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(OC)c1,CHEMBL1135404,=,=,EC50,nM,660.0,EC50,nM,660.0,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(OC)c1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in Liver X receptor-alpha ligand-sensing assay",COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(OC)c1,CHEMBL1135404,=,=,RE,,0.7,RE,,0.7,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(OC)c1,2002
Effective concentration in LXR alpha-Gal4 receptor gene assay,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(OC)c1,CHEMBL1135404,=,=,EC50,nM,4000.0,EC50,nM,4000.0,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(OC)c1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in LXR alpha-Gal4 receptor gene assay",COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(OC)c1,CHEMBL1135404,=,=,RE,,0.6,RE,,0.6,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(OC)c1,2002
Ligand-dependent recruitment of steroid receptor co-activator 1 (SRC1) to Liver X receptor-alpha,COc1ccc(CN(CCCOc2cccc(CC(=O)O)c2)CC(c2ccccc2)c2ccccc2)cc1,CHEMBL1135404,=,=,EC50,nM,860.0,EC50,nM,860.0,COc1ccc(CN(CCCOc2cccc(CC(=O)O)c2)CC(c2ccccc2)c2ccccc2)cc1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in Liver X receptor-alpha ligand-sensing assay",COc1ccc(CN(CCCOc2cccc(CC(=O)O)c2)CC(c2ccccc2)c2ccccc2)cc1,CHEMBL1135404,=,=,RE,,0.8,RE,,0.8,COc1ccc(CN(CCCOc2cccc(CC(=O)O)c2)CC(c2ccccc2)c2ccccc2)cc1,2002
Effective concentration in LXR alpha-Gal4 receptor gene assay,COc1ccc(CN(CCCOc2cccc(CC(=O)O)c2)CC(c2ccccc2)c2ccccc2)cc1,CHEMBL1135404,=,=,EC50,nM,8000.0,EC50,nM,8000.0,COc1ccc(CN(CCCOc2cccc(CC(=O)O)c2)CC(c2ccccc2)c2ccccc2)cc1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in LXR alpha-Gal4 receptor gene assay",COc1ccc(CN(CCCOc2cccc(CC(=O)O)c2)CC(c2ccccc2)c2ccccc2)cc1,CHEMBL1135404,=,=,RE,,0.9,RE,,0.9,COc1ccc(CN(CCCOc2cccc(CC(=O)O)c2)CC(c2ccccc2)c2ccccc2)cc1,2002
Ligand-dependent recruitment of steroid receptor co-activator 1 (SRC1) to Liver X receptor-alpha,NC(=O)Cc1cccc(OCCCN(Cc2ccc(F)c(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,EC50,nM,85.0,EC50,nM,85.0,NC(=O)Cc1cccc(OCCCN(Cc2ccc(F)c(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in Liver X receptor-alpha ligand-sensing assay",NC(=O)Cc1cccc(OCCCN(Cc2ccc(F)c(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,RE,,0.9,RE,,0.9,NC(=O)Cc1cccc(OCCCN(Cc2ccc(F)c(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,2002
Effective concentration in LXR alpha-Gal4 receptor gene assay,NC(=O)Cc1cccc(OCCCN(Cc2ccc(F)c(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,EC50,nM,945.0,EC50,nM,945.0,NC(=O)Cc1cccc(OCCCN(Cc2ccc(F)c(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in LXR alpha-Gal4 receptor gene assay",NC(=O)Cc1cccc(OCCCN(Cc2ccc(F)c(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,RE,,0.4,RE,,0.4,NC(=O)Cc1cccc(OCCCN(Cc2ccc(F)c(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,2002
Ligand-dependent recruitment of steroid receptor co-activator 1 (SRC1) to Liver X receptor-alpha,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1,CHEMBL1135404,=,=,EC50,nM,260.0,EC50,nM,260.0,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in Liver X receptor-alpha ligand-sensing assay",COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1,CHEMBL1135404,=,=,RE,,0.8,RE,,0.8,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1,2002
Effective concentration in LXR alpha-Gal4 receptor gene assay; inactive at 10 uM,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1,CHEMBL1135404,,,IA,,,IA,,,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1,2002
Concentration required for half maximal activity was calculated in human nuclear oxysterol receptor liver X receptor-alpha in LiSA.,C[C@H](CCC(=O)N(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,=,=,EC50,nM,170.0,EC50,nM,170.0,C[C@H](CCC(=O)N(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Tested for its ability to activate Liver X receptor-alpha expressed as Relative efficacy determined by maximal increase in relative fluorescence in LiSA,C[C@H](CCC(=O)N(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,=,=,RE,,1.4,RE,,1.4,C[C@H](CCC(=O)N(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Concentration required for half maximal activity was calculated in human nuclear oxysterol receptor liver X receptor-alpha in LiSA.,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,=,=,EC50,nM,3000.0,EC50,nM,3000.0,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Tested for its ability to activate Liver X receptor-alpha expressed as Relative efficacy determined by maximal increase in relative fluorescence in LiSA,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,=,=,RE,,0.2,RE,,0.2,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Concentration required for half maximal activity was calculated in human nuclear oxysterol receptor liver X receptor-alpha in LiSA.,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,=,=,EC50,nM,1160.0,EC50,nM,1160.0,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Tested for its ability to activate Liver X receptor-alpha expressed as Relative efficacy determined by maximal increase in relative fluorescence in LiSA,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,=,=,RE,,0.35,RE,,0.35,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Concentration required for half maximal activity was calculated in human nuclear oxysterol receptor liver X receptor-alpha in LiSA.,C[C@H](CC[C@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,=,=,EC50,nM,670.0,EC50,nM,670.0,C[C@H](CC[C@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Tested for its ability to activate Liver X receptor-alpha expressed as Relative efficacy determined by maximal increase in relative fluorescence in LiSA,C[C@H](CC[C@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,=,=,RE,,1.0,RE,,1.0,C[C@H](CC[C@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Concentration required for half maximal activity was calculated in human nuclear oxysterol receptor liver X receptor-alpha in LiSA.,CC(C)C(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,=,=,EC50,nM,180.0,EC50,nM,180.0,CC(C)C(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Tested for its ability to activate Liver X receptor-alpha expressed as Relative efficacy determined by maximal increase in relative fluorescence in LiSA,CC(C)C(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,=,=,RE,,1.3,RE,,1.3,CC(C)C(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Tested for its ability to activate Liver X receptor-alpha expressed as Relative efficacy determined by maximal increase in relative fluorescence in LiSA,CC(C)C[C@@H](O)C[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,<,<,RE,,0.1,RE,,0.1,CC(C)C[C@@H](O)C[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Tested for its ability to activate Liver X receptor-alpha expressed as Relative efficacy determined by maximal increase in relative fluorescence in LiSA,C[C@H](CNC(=O)N(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,<,<,RE,,0.1,RE,,0.1,C[C@H](CNC(=O)N(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Tested for its ability to activate Liver X receptor-alpha expressed as Relative efficacy determined by maximal increase in relative fluorescence in LiSA,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,<,<,RE,,0.1,RE,,0.1,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Tested for its ability to activate Liver X receptor-alpha expressed as Relative efficacy determined by maximal increase in relative fluorescence in LiSA,C[C@H](C[C@@H](CO)C(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,<,<,RE,,0.1,RE,,0.1,C[C@H](C[C@@H](CO)C(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Concentration required for half maximal activity was calculated in human nuclear oxysterol receptor liver X receptor-alpha in LiSA.,CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,=,=,EC50,nM,130.0,EC50,nM,130.0,CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Tested for its ability to activate Liver X receptor-alpha expressed as Relative efficacy determined by maximal increase in relative fluorescence in LiSA,CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,=,=,RE,,1.0,RE,,1.0,CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Concentration required for half maximal activity was calculated in human nuclear oxysterol receptor liver X receptor-alpha in LiSA.,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,=,=,EC50,nM,460.0,EC50,nM,460.0,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
Tested for its ability to activate Liver X receptor-alpha expressed as Relative efficacy determined by maximal increase in relative fluorescence in LiSA,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL1134370,=,=,RE,,1.0,RE,,1.0,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2001
